stratID,F_small,F_med,F_large,S_small,S_med,S_large,B,Bflux,Y,Y_small,Y_med,Y_large,E,E_small,E_med,E_large,Wmean,Winfmax,propLarge,slope,intercept,r2
7833,1.616527603,0.063150782,2.879511155,0.150938152,0.679646983,0.234363702,1.073171224,0.330976909,0.04939169,5.56E-43,0.04939169,1.48E-48,14,6,2,6,2.572508863,108.0934885,3.08E-07,-6.182698435,-20.02302556,0.464421216
7834,0.465597765,1.037527056,1.847623644,0.832305363,0.823351142,0.994278059,0.94750305,0.268808714,0.104375648,0.058067406,0.030651733,0.015656509,0,0,0,0,0.632649385,1123.831026,0.258925088,-0.710964783,-7.486355504,0.909923261
7835,1.869482317,0.273686081,1.042924157,0.826577875,0.320317466,0.578294198,0.963290981,0.281345432,0.257626377,0.099203668,0.158421416,1.29E-06,8,2,0,6,1.182264526,133.2246735,0.000126977,-1.191423295,-8.911873837,0.675889289
7836,1.788362533,2.830357574,0.921317592,0.840326314,0.697326412,0.773112538,0.875587653,0.235604781,0.272808846,0.203809726,9.86E-12,0.06899912,8,0,6,2,0.605706158,851.959241,0.249414535,-0.822764136,-7.767033204,0.801031409
7837,0.785979659,1.228413783,2.657029352,0.446042023,0.346344905,0.913460293,0.92768584,0.255826561,0.245754323,0.219263358,1.03E-17,0.026490965,8,0,6,2,0.669117922,984.0159824,0.374284855,-0.888539579,-7.962922002,0.727955403
7838,0.664318289,1.771422079,1.243230105,0.28816978,0.385110365,0.391084153,0.747773116,0.167260564,0.421626721,0.406442509,9.52E-11,0.015184211,11,0,6,5,0.522388618,63.31322758,0.007033039,-1.647543455,-9.477823445,0.571264637
7839,1.45037655,0.193398236,1.570240539,0.219976478,0.874857769,0.603856293,1.068687346,0.332673764,0.083715326,1.79E-19,0.083715326,4.49E-14,14,6,2,6,2.498635406,121.9498143,2.44E-06,-2.05105072,-11.35350619,0.558217551
7840,0.305546568,0.774188277,0.636823402,0.808551588,0.624684928,0.139804895,0.873551124,0.205652393,0.160755542,0.12858306,0.032172483,7.39E-13,10,1,3,6,0.718562016,77.39362749,9.12E-05,-2.181766287,-10.77451141,0.577036746
7841,0.497954776,2.825134909,1.74383989,0.172016401,0.019601013,0.945212757,0.927425336,0.258204528,0.207597712,0.182725932,5.52E-139,0.02487178,8,0,6,2,0.650291665,977.7024645,0.373631861,-0.890905355,-7.949267518,0.729312543
7842,2.457919585,0.562298257,0.270917197,0.760527484,0.928948633,0.254435152,1.070895515,0.350198381,0.083714427,0.007506617,0.076202893,4.92E-06,11,5,0,6,1.791909137,169.8022575,5.96E-05,-1.059474469,-8.930371729,0.68564796
