stratID,F_small,F_med,F_large,S_small,S_med,S_large,B,Bflux,Y,E,E_small,E_med,E_large,Wmean,Winfmax,propLarge,slope,intercept,r2
2300,1.858161243,1.860931118,2.480455325,0.460129997,0.900126156,0.956853697,1.060233951,0.29642222,0.087047683,1,1,0,0,1.194397609,176.2330188,0.219649915,-0.631977664,-7.639854149,0.895979533
2301,1.81816493,0.039371722,1.152502509,0.991978505,0.36128011,0.161620181,1.023320507,0.255620415,0.05461266,6,2,1,3,1.56376565,73.99704959,1.76E-07,-6.984369284,-21.2615356,0.453764422
2302,0.606789133,0.75053094,0.693017029,0.715906391,0.251600228,0.009765174,0.886093872,0.135974589,0.199138418,7,1,3,3,0.962445309,26.11332055,0,-9.99534096,-30.07872589,0.595681291
2303,2.413379972,2.456231151,0.562722961,0.324338035,0.126098845,0.420079813,0.866131695,0.249392166,0.519746614,6,1,3,2,0.863109981,56.46051144,0.273732625,-1.530785375,-9.285103198,0.413691259
2304,1.086271852,2.211429473,0.149085061,0.5901134,0.688694241,0.004947691,1.005466997,0.294190321,0.196304914,4,1,0,3,1.490231173,111.6308311,8.33E-09,-1.542781241,-9.803260565,0.606167242
2305,2.705436706,0.354182974,0.655656026,0.880530433,0.239183253,0.184121818,0.897834895,0.168372374,0.201340265,5,1,1,3,1.019823239,42.07222669,3.38E-07,-2.45913061,-11.59571198,0.55361463
2306,1.161482421,1.039201017,0.824229548,0.70315824,0.27420144,0.572619257,0.896690202,0.226020593,0.151990118,4,0,3,1,0.709932285,62.13145508,0.306788966,-0.873212343,-7.967871199,0.73477942
2307,0.725044337,0.306173258,2.415574521,0.59822777,0.278412423,0.945738426,0.950356036,0.257811553,0.101607851,1,0,0,1,0.789669444,77.91629473,0.328272908,-0.788337034,-7.791201824,0.790001064
2308,1.864652981,1.810766223,1.4283166,0.234280156,0.17905233,0.451943401,0.853736405,0.239037252,0.540078111,4,0,3,1,0.82464035,59.21247937,0.268065881,-1.336920327,-8.891673483,0.460684075
2309,0.138615605,1.227016247,2.025275982,0.196970534,0.960983974,0.265231235,1.042639986,0.2831799,0.046410251,5,2,0,3,1.634688509,86.6912384,1.26E-08,-7.675455844,-22.67585019,0.449466919
2310,0.342503753,1.490699264,1.214974958,0.201460038,0.094915767,0.29849778,0.831191159,0.119701811,0.263257801,7,1,3,3,0.860894269,24.11342108,5.39E-12,-3.095596174,-14.45289834,0.736901187
2311,0.735002124,2.151392019,0.32299654,0.504648004,0.706454847,0.854963959,0.962620084,0.270148953,0.125661968,0,0,0,0,0.836906622,89.41573623,0.290427173,-0.710763944,-7.655777299,0.866346428
2312,1.471558067,0.190823763,0.394173924,0.745203475,0.666408308,0.244785592,1.040539626,0.291048811,0.090494042,5,2,0,3,1.766997912,104.7159045,1.71E-07,-1.993693661,-10.89200164,0.555687198
2313,2.432400352,2.589007202,2.514494418,0.537050655,0.424817174,0.068053404,0.786188723,0.167961331,0.587452857,3,0,0,3,0.903545326,47.11804904,4.65E-10,-20.68206628,-49.41054895,0.425894439
2314,0.587192571,0.055634555,1.606303887,0.517773971,0.273962599,0.203952212,1.042852407,0.288174848,0.085065309,6,2,1,3,1.863739187,94.17900471,1.74E-10,-7.73321188,-23.01064342,0.460801296
2315,0.503903024,0.720487559,2.679652525,0.055425666,0.621474653,0.167816431,1.018798484,0.287141932,0.212363323,5,2,0,3,1.965467284,131.3243797,2.00E-08,-12.74433918,-33.28646529,0.43067675
2316,1.747977377,1.361959869,2.314195999,0.551900442,0.556959275,0.89471293,0.94578327,0.25858444,0.214117101,3,1,1,1,0.834925209,73.09065376,0.386679608,-1.040680797,-8.343622869,0.56366079
2317,2.652138651,1.700497205,0.080631147,0.91744715,0.352487621,0.26562153,0.911137517,0.228944496,0.043563528,4,0,3,1,0.690593004,59.74844573,0.313749752,-0.990674778,-8.150560912,0.621722058
2318,0.895492732,0.510162384,2.173266465,0.994755795,0.582672374,0.048038442,0.975008578,0.241679268,0.10749793,4,1,0,3,1.263440297,76.41016116,1.61E-07,-21.07388522,-50.34287836,0.422928562
2319,0.785083533,0.580754949,2.866005118,0.25258242,0.453694544,0.465441315,0.969812515,0.258131297,0.308331057,4,1,0,3,1.672751637,106.8680633,9.86E-08,-1.478638001,-9.756642528,0.603293094
2320,0.312112155,0.772856133,0.872436484,0.73535087,0.229668934,0.635950127,0.908663004,0.226658712,0.057122289,4,0,3,1,0.687048212,61.31057056,0.311163708,-0.82889526,-7.874583797,0.781015844
2321,1.214606257,0.504899795,0.356508949,0.25900716,0.627616853,0.230504422,1.035930757,0.289727603,0.18265921,7,3,1,3,2.804496227,140.6306106,1.65E-08,-1.498374767,-10.35261779,0.629891056
2322,0.046243135,1.600194486,0.954568683,0.323717745,0.308673601,0.930646173,0.934080107,0.23598122,0.018867455,4,0,3,1,0.716551705,62.32951836,0.364672259,-0.982787328,-8.179585356,0.629813298
2323,2.866089637,1.590488173,0.436475607,0.952896032,0.947845576,0.343523048,1.038428506,0.278246429,0.042387027,5,2,0,3,1.598402996,86.95201523,2.07E-08,-1.886608492,-10.63197641,0.576298952
2324,0.587389899,2.485990416,0.444094035,0.962564672,0.132701789,0.270060916,0.947561225,0.161055459,0.077541011,7,1,3,3,1.029210506,26.70480536,1.15E-06,-1.787910265,-11.14698784,0.783289733
2325,0.150116877,1.669881638,0.998463901,0.57820185,0.066994386,0.262910724,0.916398203,0.146436058,0.105557543,7,1,3,3,0.942608652,24.98768829,0,-5.493341124,-21.83355274,0.71162299
2326,0.782059308,0.844341022,0.626268877,0.938517779,0.821681966,0.825137228,0.989061542,0.268508422,0.021234307,0,0,0,0,0.826572318,106.781311,0.225875412,-0.675998096,-7.513556117,0.90297179
2327,0.283906512,0.740961713,0.185070313,0.734639047,0.230538794,0.759320851,0.929045615,0.234413715,0.030707942,4,0,3,1,0.712247021,62.45817281,0.354836939,-0.9474609,-8.110700697,0.66196416
2328,0.138507762,1.786717752,1.26137972,0.742200089,0.119475613,0.517437117,0.882501573,0.185838518,0.066288635,3,0,3,0,0.681852085,54.11520622,0.147623719,-0.797243394,-7.885190438,0.831136133
2329,0.37598101,1.269286727,0.244881817,0.249221931,0.736095075,0.438187675,1.041587441,0.295282619,0.116274559,3,2,0,1,1.551422202,155.0116762,0.054603701,-0.677685456,-7.966688349,0.838892956
2330,0.216342069,2.822810994,2.441042777,0.161619922,0.059318013,0.334753545,0.869283512,0.130465066,0.177701678,7,1,3,3,0.88751356,24.16118178,0,-7.580558701,-27.96755425,0.695211029
2331,1.047247724,0.951734863,0.844147187,0.605349442,0.602629357,0.208857493,0.990488216,0.277214683,0.223834169,4,1,0,3,1.507807791,108.4177171,2.07E-08,-4.198274823,-15.32212375,0.476301234
2332,1.469184451,0.764290825,1.383551894,0.540001522,0.687967513,0.290949906,1.044451972,0.300420339,0.160315683,5,2,0,3,2.30536445,141.0507377,9.49E-09,-4.926058475,-17.18786048,0.464443439
2333,1.401544777,0.64105371,0.637705972,0.308097506,0.099585875,0.902532273,0.945995716,0.262277651,0.302455346,5,1,3,1,0.868387096,66.86959385,0.441408888,-1.262404629,-8.797546688,0.450647537
2334,0.135419201,2.877521063,0.915285855,0.778487387,0.301830263,0.500148846,0.937360947,0.155224293,0.07449103,7,1,3,3,0.972893565,25.69801627,0.000418554,-1.233275545,-9.611778211,0.816179318
2335,2.121604786,2.292467167,1.791685692,0.688074376,0.708876482,0.971067902,0.982713055,0.271198103,0.10776704,0,0,0,0,0.865331851,106.7088712,0.267795748,-0.673020493,-7.566782437,0.897887599
2336,1.046224791,2.693500786,0.862021528,0.627678605,0.791765309,0.244901604,1.042610413,0.304347382,0.138305496,5,2,0,3,1.889140138,132.3081704,1.20E-09,-4.367415942,-15.84612992,0.473297002
2337,0.112047646,1.149692833,1.425977897,0.147403243,0.539221062,0.62974141,0.901396108,0.226410261,0.113433338,0,0,0,0,0.695964975,70.08591932,0.227160863,-0.761151781,-7.675327623,0.817904434
